forecast_horizon,mae,count
1,1110.5699700342466,365
2,1101.3538768193494,365
3,1028.5304072131848,365
4,928.3656383775685,365
5,862.8681453339041,365
6,756.5763885916095,365
7,716.6909701412671,365
8,621.457058005137,365
9,615.3242883133562,365
10,602.0762762200343,365
11,611.0559958261987,365
12,666.2173828125,365
13,746.001137093322,365
14,837.8506769049658,365
15,952.4246575342465,365
16,1076.2205907534246,365
17,1255.0309503424658,365
18,1463.666229666096,365
19,1637.7018354023974,365
20,1762.549866224315,365
21,1862.1972870291097,365
22,1972.2746200770548,365
23,2025.9763805650684,365
24,2041.3073121789384,365
25,1972.989774186644,365
26,1928.5143862371576,365
27,1846.2384364297945,365
28,1891.7098940496576,365
29,1786.4956442636985,365
30,1664.5407908818493,365
31,1496.4155393835617,365
32,1328.8633989726027,365
33,1059.5378799229452,365
34,915.5216770119863,365
35,805.2974903681506,365
36,755.8104826626712,365
37,717.9339522688356,365
38,753.596537885274,365
39,742.7113388270548,365
40,787.2289918664384,365
41,789.6357448630137,365
42,681.8395761986301,365
43,666.076198630137,365
44,609.879243364726,365
45,635.7796553938356,365
46,799.5542273116438,365
47,884.056801155822,365
48,1052.479733645261,364
49,1119.881095467033,364
50,1108.5467569539835,364
51,1040.8124865856798,364
52,940.0918076064561,364
53,871.8706510774382,364
54,768.7504373068338,364
55,728.8751368260646,364
56,645.3268613710508,364
57,639.66749388307,364
58,628.6725162044986,364
59,638.6240341689561,364
60,689.5372354696085,364
61,770.1201359675481,364
62,880.8072603665865,364
63,995.8170313573146,364
64,1140.0278964199863,364
65,1316.0878369677198,364
66,1522.4578039148353,364
67,1702.066631610577,364
68,1833.036374270261,364
69,1935.2654479309754,364
70,2027.2002597012363,364
71,2074.564034598214,364
72,2091.7462225274726,364
73,2024.3290881481798,364
74,1979.5955126416552,364
75,1897.7096363109547,364
76,1944.3085159469438,364
77,1846.0432745964972,364
78,1707.6678882640797,364
79,1539.1695087139424,364
80,1354.3582535628434,364
81,1101.9081065418957,364
82,951.7617616758242,364
83,838.0753509186127,364
84,797.4939206301511,364
85,764.2953028416896,364
86,794.0009658310439,364
87,787.3582857572115,364
88,825.2960969694368,364
89,822.5224126459478,364
90,727.6435922475962,364
91,686.0156571943681,364
92,632.8621490813873,364
93,658.4920748197115,364
94,829.9144810267857,364
95,912.9819979824863,364
96,1057.2590069731405,363
